id,ZT,values,type,code_id,outlier_mean,outlier_IQR,outlier_mad,outlier_any,outlier_all,outlier_all_no_mean,outlier_any_no_mean
10,ZT13,140000,aged,10-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT19,1778605,aged,10-ZT19-aged,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,ZT1,3273935,aged,11-ZT1-aged,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,ZT5,1270725,aged,11-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,ZT13,176369.6,aged,11-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,ZT19,748800,aged,11-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,ZT19,726233.8,aged,12-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,ZT19,401836.1,aged,13-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,ZT19,646295.1,aged,14-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,ZT19,61156.24,aged,15-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
